date_key,full_date,day,month,month_name,quarter,year,weekday,week_number,is_weekend
20230101,2023-01-01,1,1,January,1,2023,Sunday,52,True
20230102,2023-01-02,2,1,January,1,2023,Monday,1,False
20230103,2023-01-03,3,1,January,1,2023,Tuesday,1,False
20230104,2023-01-04,4,1,January,1,2023,Wednesday,1,False
20230105,2023-01-05,5,1,January,1,2023,Thursday,1,False
20230106,2023-01-06,6,1,January,1,2023,Friday,1,False
20230107,2023-01-07,7,1,January,1,2023,Saturday,1,True
20230108,2023-01-08,8,1,January,1,2023,Sunday,1,True
20230109,2023-01-09,9,1,January,1,2023,Monday,2,False
20230110,2023-01-10,10,1,January,1,2023,Tuesday,2,False
20230111,2023-01-11,11,1,January,1,2023,Wednesday,2,False
20230112,2023-01-12,12,1,January,1,2023,Thursday,2,False
20230113,2023-01-13,13,1,January,1,2023,Friday,2,False
20230114,2023-01-14,14,1,January,1,2023,Saturday,2,True
20230115,2023-01-15,15,1,January,1,2023,Sunday,2,True
20230116,2023-01-16,16,1,January,1,2023,Monday,3,False
20230117,2023-01-17,17,1,January,1,2023,Tuesday,3,False
20230118,2023-01-18,18,1,January,1,2023,Wednesday,3,False
20230119,2023-01-19,19,1,January,1,2023,Thursday,3,False
20230120,2023-01-20,20,1,January,1,2023,Friday,3,False
20230121,2023-01-21,21,1,January,1,2023,Saturday,3,True
20230122,2023-01-22,22,1,January,1,2023,Sunday,3,True
20230123,2023-01-23,23,1,January,1,2023,Monday,4,False
20230124,2023-01-24,24,1,January,1,2023,Tuesday,4,False
20230125,2023-01-25,25,1,January,1,2023,Wednesday,4,False
20230126,2023-01-26,26,1,January,1,2023,Thursday,4,False
20230127,2023-01-27,27,1,January,1,2023,Friday,4,False
20230128,2023-01-28,28,1,January,1,2023,Saturday,4,True
20230129,2023-01-29,29,1,January,1,2023,Sunday,4,True
20230130,2023-01-30,30,1,January,1,2023,Monday,5,False
20230131,2023-01-31,31,1,January,1,2023,Tuesday,5,False
20230201,2023-02-01,1,2,February,1,2023,Wednesday,5,False
20230202,2023-02-02,2,2,February,1,2023,Thursday,5,False
20230203,2023-02-03,3,2,February,1,2023,Friday,5,False
20230204,2023-02-04,4,2,February,1,2023,Saturday,5,True
20230205,2023-02-05,5,2,February,1,2023,Sunday,5,True
20230206,2023-02-06,6,2,February,1,2023,Monday,6,False
20230207,2023-02-07,7,2,February,1,2023,Tuesday,6,False
20230208,2023-02-08,8,2,February,1,2023,Wednesday,6,False
20230209,2023-02-09,9,2,February,1,2023,Thursday,6,False
20230210,2023-02-10,10,2,February,1,2023,Friday,6,False
20230211,2023-02-11,11,2,February,1,2023,Saturday,6,True
20230212,2023-02-12,12,2,February,1,2023,Sunday,6,True
20230213,2023-02-13,13,2,February,1,2023,Monday,7,False
20230214,2023-02-14,14,2,February,1,2023,Tuesday,7,False
20230215,2023-02-15,15,2,February,1,2023,Wednesday,7,False
20230216,2023-02-16,16,2,February,1,2023,Thursday,7,False
20230217,2023-02-17,17,2,February,1,2023,Friday,7,False
20230218,2023-02-18,18,2,February,1,2023,Saturday,7,True
20230219,2023-02-19,19,2,February,1,2023,Sunday,7,True
20230220,2023-02-20,20,2,February,1,2023,Monday,8,False
20230221,2023-02-21,21,2,February,1,2023,Tuesday,8,False
20230222,2023-02-22,22,2,February,1,2023,Wednesday,8,False
20230223,2023-02-23,23,2,February,1,2023,Thursday,8,False
20230224,2023-02-24,24,2,February,1,2023,Friday,8,False
20230225,2023-02-25,25,2,February,1,2023,Saturday,8,True
20230226,2023-02-26,26,2,February,1,2023,Sunday,8,True
20230227,2023-02-27,27,2,February,1,2023,Monday,9,False
20230228,2023-02-28,28,2,February,1,2023,Tuesday,9,False
20230301,2023-03-01,1,3,March,1,2023,Wednesday,9,False
20230302,2023-03-02,2,3,March,1,2023,Thursday,9,False
20230303,2023-03-03,3,3,March,1,2023,Friday,9,False
20230304,2023-03-04,4,3,March,1,2023,Saturday,9,True
20230305,2023-03-05,5,3,March,1,2023,Sunday,9,True
20230306,2023-03-06,6,3,March,1,2023,Monday,10,False
20230307,2023-03-07,7,3,March,1,2023,Tuesday,10,False
20230308,2023-03-08,8,3,March,1,2023,Wednesday,10,False
20230309,2023-03-09,9,3,March,1,2023,Thursday,10,False
20230310,2023-03-10,10,3,March,1,2023,Friday,10,False
20230311,2023-03-11,11,3,March,1,2023,Saturday,10,True
20230312,2023-03-12,12,3,March,1,2023,Sunday,10,True
20230313,2023-03-13,13,3,March,1,2023,Monday,11,False
20230314,2023-03-14,14,3,March,1,2023,Tuesday,11,False
20230315,2023-03-15,15,3,March,1,2023,Wednesday,11,False
20230316,2023-03-16,16,3,March,1,2023,Thursday,11,False
20230317,2023-03-17,17,3,March,1,2023,Friday,11,False
20230318,2023-03-18,18,3,March,1,2023,Saturday,11,True
20230319,2023-03-19,19,3,March,1,2023,Sunday,11,True
20230320,2023-03-20,20,3,March,1,2023,Monday,12,False
20230321,2023-03-21,21,3,March,1,2023,Tuesday,12,False
20230322,2023-03-22,22,3,March,1,2023,Wednesday,12,False
20230323,2023-03-23,23,3,March,1,2023,Thursday,12,False
20230324,2023-03-24,24,3,March,1,2023,Friday,12,False
20230325,2023-03-25,25,3,March,1,2023,Saturday,12,True
20230326,2023-03-26,26,3,March,1,2023,Sunday,12,True
20230327,2023-03-27,27,3,March,1,2023,Monday,13,False
20230328,2023-03-28,28,3,March,1,2023,Tuesday,13,False
20230329,2023-03-29,29,3,March,1,2023,Wednesday,13,False
20230330,2023-03-30,30,3,March,1,2023,Thursday,13,False
20230331,2023-03-31,31,3,March,1,2023,Friday,13,False
20230401,2023-04-01,1,4,April,2,2023,Saturday,13,True
20230402,2023-04-02,2,4,April,2,2023,Sunday,13,True
20230403,2023-04-03,3,4,April,2,2023,Monday,14,False
20230404,2023-04-04,4,4,April,2,2023,Tuesday,14,False
20230405,2023-04-05,5,4,April,2,2023,Wednesday,14,False
20230406,2023-04-06,6,4,April,2,2023,Thursday,14,False
20230407,2023-04-07,7,4,April,2,2023,Friday,14,False
20230408,2023-04-08,8,4,April,2,2023,Saturday,14,True
20230409,2023-04-09,9,4,April,2,2023,Sunday,14,True
20230410,2023-04-10,10,4,April,2,2023,Monday,15,False
20230411,2023-04-11,11,4,April,2,2023,Tuesday,15,False
20230412,2023-04-12,12,4,April,2,2023,Wednesday,15,False
20230413,2023-04-13,13,4,April,2,2023,Thursday,15,False
20230414,2023-04-14,14,4,April,2,2023,Friday,15,False
20230415,2023-04-15,15,4,April,2,2023,Saturday,15,True
20230416,2023-04-16,16,4,April,2,2023,Sunday,15,True
20230417,2023-04-17,17,4,April,2,2023,Monday,16,False
20230418,2023-04-18,18,4,April,2,2023,Tuesday,16,False
20230419,2023-04-19,19,4,April,2,2023,Wednesday,16,False
