sales_id,customer_id,product_id,store_id,date_key,quantity,unit_price,discount,sales_amount,payment_method
T000001,C04384,P0390,S078,20240809,1,112401.1,5901.18,106499.92,UPI
T000002,C02525,P0153,S053,20230810,1,74427.07,4759.89,69667.18,UPI
T000003,C03658,P0128,S021,20240418,1,51506.13,5616.7,45889.43,UPI
T000004,C00618,P0252,S117,20240112,1,10228.24,846.85,9381.39,Credit Card
T000005,C00906,P0227,S015,20250111,1,1989.79,267.0,1722.79,Debit Card
T000006,C01603,P0210,S110,20250628,3,591.09,96.63,1676.64,UPI
T000007,C03884,P0128,S045,20241027,2,51506.13,13488.74,89523.52,UPI
T000008,C01201,P0482,S039,20250511,3,334.76,35.06,969.22,UPI
T000009,C02023,P0476,S021,20240129,2,456.04,75.06,837.02,Debit Card
T000010,C01026,P0042,S055,20240105,1,1739.41,111.17,1628.24,UPI
T000011,C04798,P0330,S023,20240930,2,3620.32,799.17,6441.47,Debit Card
T000012,C02987,P0183,S024,20240310,4,1612.67,841.39,5609.29,Net Banking
T000013,C03163,P0117,S093,20250213,2,81074.95,9385.24,152764.66,UPI
T000014,C03922,P0248,S039,20250812,3,2127.5,713.9,5668.6,Cash
T000015,C04294,P0088,S103,20250131,3,4459.15,926.11,12451.34,UPI
T000016,C02060,P0015,S110,20250928,1,51133.95,6509.7,44624.25,Net Banking
T000017,C01279,P0272,S005,20240207,2,1389.91,500.29,2279.53,UPI
T000018,C04658,P0499,S066,20250104,2,9665.93,2809.94,16521.92,UPI
T000019,C00915,P0391,S078,20250702,2,112710.01,19279.51,206140.51,Credit Card
T000020,C02605,P0203,S108,20240901,1,3047.43,861.63,2185.8,UPI
T000021,C01577,P0310,S061,20250612,1,13126.9,978.09,12148.81,UPI
T000022,C04999,P0430,S027,20240127,3,468.59,96.74,1309.03,UPI
T000023,C02982,P0479,S031,20240110,2,94604.45,25407.95,163800.95,Debit Card
T000024,C04658,P0466,S074,20230726,1,1215.12,99.86,1115.26,Debit Card
T000025,C04068,P0195,S060,20250101,4,1816.47,655.1,6610.78,UPI
T000026,C03989,P0018,S088,20250126,2,22496.66,3684.68,41308.64,Credit Card
T000027,C04270,P0441,S082,20250518,2,7887.12,1014.08,14760.16,UPI
T000028,C01473,P0278,S028,20240409,2,7823.93,1951.31,13696.55,UPI
T000029,C00584,P0269,S086,20251023,3,741.63,200.11,2024.78,UPI
T000030,C02247,P0028,S080,20230112,1,3916.73,395.4,3521.33,UPI
T000031,C02853,P0138,S116,20230726,1,99543.3,13548.87,85994.43,UPI
T000032,C00756,P0188,S071,20251003,1,2348.22,303.41,2044.81,UPI
T000033,C01583,P0032,S115,20230523,1,4019.42,355.63,3663.79,Credit Card
T000034,C02027,P0005,S024,20230804,4,746.48,386.28,2599.64,Net Banking
T000035,C02790,P0322,S004,20240509,1,1370.98,161.81,1209.17,UPI
T000036,C04283,P0118,S097,20241014,3,359.47,356.5,721.91,UPI
T000037,C04115,P0258,S068,20250818,2,799.52,69.52,1529.52,Credit Card
T000038,C01236,P0156,S093,20230715,3,3265.23,1347.74,8447.95,UPI
T000039,C01123,P0366,S078,20240616,1,9068.38,913.8,8154.58,UPI
T000040,C00709,P0378,S081,20250913,3,702.38,371.38,1735.76,Credit Card
T000041,C00038,P0104,S010,20250524,1,3061.49,199.87,2861.62,Debit Card
T000042,C02628,P0043,S099,20230427,1,51737.62,5685.68,46051.94,Credit Card
T000043,C04827,P0100,S114,20231017,1,1058.56,98.35,960.21,Cash
T000044,C02918,P0197,S053,20251114,5,760.11,45.5,3755.05,UPI
T000045,C00278,P0275,S006,20250314,10,920.91,436.03,8773.07,UPI
T000046,C02633,P0163,S087,20231216,2,11233.84,3873.51,18594.17,Net Banking
T000047,C00193,P0461,S052,20230128,9,662.66,228.37,5735.57,UPI
T000048,C03805,P0471,S071,20230812,2,2876.93,832.5,4921.36,UPI
T000049,C03006,P0234,S111,20231213,2,10182.19,2982.08,17382.3,Cash
T000050,C01111,P0249,S060,20240222,1,113712.27,13792.72,99919.55,UPI
T000051,C04886,P0086,S011,20250624,2,3679.75,690.39,6669.11,Credit Card
T000052,C00655,P0210,S062,20250122,1,591.09,14.65,576.44,UPI
T000053,C01048,P0297,S073,20240621,1,634.58,18.67,615.91,UPI
T000054,C01994,P0060,S054,20250109,1,6652.47,339.8,6312.67,Debit Card
T000055,C01764,P0473,S082,20240607,1,609.15,51.38,557.77,Cash
T000056,C00049,P0213,S026,20250125,2,16737.83,2029.58,31446.08,UPI
T000057,C02905,P0150,S102,20240212,4,3096.71,2034.8,10352.04,UPI
T000058,C01156,P0457,S014,20250312,3,1026.2,177.39,2901.21,UPI
T000059,C02857,P0489,S097,20231210,2,1581.43,413.54,2749.32,UPI
T000060,C01155,P0354,S084,20231117,1,2612.51,302.79,2309.72,UPI
T000061,C02108,P0122,S030,20231201,4,629.96,302.52,2217.32,Debit Card
T000062,C04838,P0414,S065,20250322,1,38015.43,2131.19,35884.24,Debit Card
T000063,C01867,P0328,S089,20240414,1,1200.85,89.9,1110.95,UPI
T000064,C04169,P0067,S014,20240704,2,19612.85,2786.1,36439.6,UPI
T000065,C00290,P0238,S094,20250201,2,12185.43,1827.34,22543.52,Cash
T000066,C00007,P0334,S090,20241008,8,343.83,111.13,2639.51,Cash
T000067,C01322,P0200,S102,20230217,1,989.83,57.0,932.83,Net Banking
T000068,C04364,P0243,S107,20250904,1,1730.28,254.18,1476.1,Cash
T000069,C01195,P0364,S063,20240114,4,543.37,18.07,2155.41,Credit Card
T000070,C01444,P0248,S012,20240318,1,2127.5,290.33,1837.17,Cash
T000071,C02798,P0092,S042,20250709,2,3437.62,1469.18,5406.06,Net Banking
T000072,C04941,P0302,S011,20240608,2,70626.33,20149.95,121102.71,Debit Card
T000073,C04361,P0051,S041,20250210,2,10771.01,2443.97,19098.05,Net Banking
T000074,C03125,P0388,S040,20230626,5,1825.08,1362.25,7763.15,Credit Card
T000075,C03817,P0071,S114,20230602,2,1345.44,508.61,2182.27,Net Banking
T000076,C03082,P0100,S012,20230319,3,1058.56,233.65,2942.03,UPI
T000077,C02176,P0412,S108,20240325,2,1240.96,14.19,2467.73,Credit Card
T000078,C00482,P0080,S048,20230328,5,719.75,676.23,2922.52,Credit Card
T000079,C03731,P0181,S025,20240525,1,18795.78,3648.58,15147.2,UPI
T000080,C04799,P0376,S066,20250525,1,9307.12,529.13,8777.99,UPI
T000081,C02434,P0264,S038,20251213,1,3059.24,276.49,2782.75,Cash
T000082,C00201,P0128,S085,20230427,1,51506.13,5557.09,45949.04,UPI
T000083,C03411,P0480,S119,20251115,1,4652.79,525.22,4127.57,Credit Card
T000084,C00081,P0048,S097,20240427,2,62827.79,18027.88,107627.7,UPI
T000085,C00110,P0340,S030,20250508,3,1306.61,336.33,3583.5,UPI
T000086,C02241,P0134,S002,20240302,3,674.31,239.89,1783.04,Cash
T000087,C02639,P0445,S076,20230422,1,793.76,0.74,793.02,Credit Card
T000088,C00689,P0367,S053,20230909,3,1999.7,897.52,5101.58,UPI
T000089,C04894,P0260,S112,20250125,1,1900.95,191.21,1709.74,UPI
T000090,C02319,P0199,S024,20230911,3,1938.03,1058.92,4755.17,Cash
T000091,C02876,P0096,S082,20250919,3,1577.06,877.62,3853.56,UPI
T000092,C04464,P0394,S115,20230125,3,1165.85,420.94,3076.61,Credit Card
T000093,C00610,P0229,S034,20250904,1,2321.33,697.23,1624.1,Credit Card
T000094,C03982,P0315,S023,20230711,1,11015.39,1585.04,9430.35,UPI
T000095,C04131,P0066,S045,20250322,1,499.15,91.57,407.58,Debit Card
T000096,C03892,P0034,S087,20240327,1,31328.31,2419.64,28908.67,Credit Card
T000097,C04670,P0308,S120,20240402,3,549.73,139.01,1510.18,Credit Card
T000098,C02360,P0477,S086,20240423,2,675.69,135.87,1215.51,UPI
T000099,C01332,P0004,S016,20250820,1,30350.67,1797.67,28553.0,UPI
T000100,C03229,P0305,S022,20230808,2,11912.39,1296.27,22528.51,UPI
T000101,C01037,P0304,S083,20250313,1,78102.14,8881.1,69221.04,UPI
T000102,C00457,P0500,S045,20240626,3,2543.16,718.57,6910.91,Debit Card
T000103,C03953,P0288,S044,20240804,3,1771.4,5.14,5309.06,UPI
T000104,C02928,P0129,S042,20250420,1,14060.09,1853.66,12206.43,Debit Card
T000105,C01762,P0187,S016,20251207,5,1807.93,1201.18,7838.47,UPI
T000106,C00356,P0441,S090,20250713,1,7887.12,637.48,7249.64,Cash
T000107,C04166,P0108,S117,20251109,1,1702.84,153.07,1549.77,UPI
T000108,C03801,P0098,S035,20231008,1,946.76,63.14,883.62,UPI
T000109,C04121,P0108,S036,20240602,3,1702.84,451.66,4656.86,UPI
T000110,C04315,P0417,S030,20230616,10,219.55,82.27,2113.23,Cash
T000111,C01017,P0353,S090,20230304,4,774.97,134.01,2965.87,Net Banking
T000112,C04180,P0116,S012,20241011,1,20007.57,3645.63,16361.94,UPI
T000113,C00443,P0233,S101,20241221,3,3799.57,3815.33,7583.38,UPI
T000114,C00651,P0293,S110,20240225,3,624.4,161.86,1711.34,Debit Card
T000115,C01382,P0479,S078,20230821,2,94604.45,12472.61,176736.29,Debit Card
T000116,C02137,P0326,S008,20230609,4,1497.78,1083.34,4907.78,Cash
T000117,C03196,P0487,S049,20230120,4,505.06,20.16,2000.08,Cash
T000118,C04878,P0344,S096,20240222,3,1274.41,366.18,3457.05,Debit Card
T000119,C03726,P0067,S119,20230219,1,19612.85,1636.47,17976.38,Credit Card
T000120,C03856,P0132,S069,20240702,2,5192.75,1030.65,9354.85,Cash
T000121,C03241,P0292,S097,20240307,3,4673.22,2878.85,11140.81,Credit Card
T000122,C00168,P0257,S079,20230214,3,2762.62,3164.07,5123.79,UPI
T000123,C03680,P0334,S084,20240129,5,343.83,15.35,1703.8,Net Banking
T000124,C02695,P0233,S003,20240117,3,3799.57,1270.7,10128.01,Credit Card
T000125,C00403,P0243,S068,20241221,2,1730.28,425.15,3035.41,UPI
T000126,C02271,P0491,S066,20240526,10,945.83,465.46,8992.84,UPI
T000127,C01149,P0131,S008,20250615,5,329.25,129.25,1517.0,UPI
T000128,C04057,P0406,S090,20250920,4,667.08,268.19,2400.13,Cash
T000129,C04266,P0326,S005,20251219,5,1497.78,1146.02,6342.88,Cash
T000130,C01780,P0422,S028,20250826,1,16603.12,1434.88,15168.24,UPI
T000131,C00096,P0400,S077,20240130,3,1917.26,529.61,5222.17,Credit Card
T000132,C00107,P0377,S016,20230501,1,6009.24,949.24,5060.0,UPI
T000133,C04217,P0486,S010,20240510,2,12305.94,2871.94,21739.94,UPI
T000134,C03318,P0272,S110,20250425,3,1389.91,555.25,3614.48,UPI
T000135,C02355,P0054,S062,20230715,4,644.33,781.43,1795.89,Cash
T000136,C02133,P0080,S077,20230407,5,719.75,487.15,3111.6,UPI
T000137,C04653,P0169,S006,20230921,1,372.88,5.67,367.21,UPI
T000138,C04590,P0193,S112,20250516,2,100776.47,19449.62,182103.32,UPI
T000139,C00934,P0257,S081,20241019,2,2762.62,1399.83,4125.41,Debit Card
T000140,C01626,P0130,S096,20230613,1,10661.68,1235.53,9426.15,UPI
T000141,C04252,P0188,S083,20231201,3,2348.22,798.12,6246.54,UPI
T000142,C04373,P0183,S036,20250111,2,1612.67,486.77,2738.57,UPI
T000143,C04392,P0107,S033,20251210,1,19150.13,1380.78,17769.35,UPI
T000144,C00321,P0017,S085,20250128,2,1508.18,335.2,2681.16,Debit Card
T000145,C04060,P0074,S072,20240430,4,1884.55,845.53,6692.67,Credit Card
T000146,C01734,P0179,S091,20251206,2,1718.35,542.15,2894.55,UPI
T000147,C00587,P0256,S067,20230910,2,1686.7,250.98,3122.42,Credit Card
T000148,C02818,P0108,S103,20230804,1,1702.84,152.01,1550.83,Cash
T000149,C00604,P0130,S087,20231117,1,10661.68,1363.01,9298.67,UPI
T000150,C04579,P0356,S080,20251010,2,1738.24,200.01,3276.47,UPI
T000151,C02873,P0128,S105,20250506,1,51506.13,4926.36,46579.77,Debit Card
T000152,C00269,P0233,S081,20230426,3,3799.57,4388.64,7010.07,Cash
T000153,C01159,P0323,S011,20230216,2,9234.38,2457.4,16011.36,Credit Card
T000154,C03858,P0070,S077,20241223,1,2724.29,338.81,2385.48,Credit Card
T000155,C00828,P0142,S120,20250927,3,1180.4,576.39,2964.81,Debit Card
T000156,C00378,P0035,S081,20230116,2,37024.89,9373.32,64676.46,Credit Card
